Date,Close
10/9/2018 ,77.64
10/10/2018 ,73.58
10/11/2018 ,73.85
10/12/2018 ,77.92
10/15/2018 ,75.67
10/16/2018 ,78.73
10/17/2018 ,78.3
10/18/2018 ,71.81
10/19/2018 ,69.75
10/22/2018 ,69.78
10/23/2018 ,68.98
10/24/2018 ,67.25
10/25/2018 ,70.32
10/26/2018 ,68.84
10/29/2018 ,65.22
10/30/2018 ,67.48
10/31/2018 ,69.05
11/1/2018 ,69.32
11/2/2018 ,68.99
11/5/2018 ,64.34
11/6/2018 ,64.25
11/7/2018 ,65.09
11/8/2018 ,62.79
11/9/2018 ,55.01
11/12/2018 ,53.89
11/13/2018 ,52.55
11/14/2018 ,51.6
11/15/2018 ,53.56
11/16/2018 ,50.94
11/19/2018 ,49.14
11/20/2018 ,49.26
11/21/2018 ,50.85
11/23/2018 13:00:00,50.05
11/26/2018 ,50.91
11/27/2018 ,50.75
11/28/2018 ,51.02
11/29/2018 ,52.56
11/30/2018 ,49.88
12/3/2018 ,46.6
12/4/2018 ,46.52
12/6/2018 ,48.15
12/7/2018 ,47.23
12/10/2018 ,47.88
12/11/2018 ,48.2
12/12/2018 ,48.45
12/13/2018 ,48.51
12/14/2018 ,47.75
12/17/2018 ,47.08
12/18/2018 ,47.32
12/19/2018 ,46.33
12/20/2018 ,47.05
12/21/2018 ,45.85
12/24/2018 13:00:00,43.99
12/26/2018 ,46.42
12/27/2018 ,47.04
12/28/2018 ,46.8
12/31/2018 ,46.57
1/2/2019 ,47.03
1/3/2019 ,45.36
1/4/2019 ,47.17
1/7/2019 ,48.5
1/8/2019 ,49.97
1/9/2019 ,50.83
1/10/2019 ,51.35
1/11/2019 ,46.54
1/14/2019 ,47.29
1/15/2019 ,46.84
1/16/2019 ,47.13
1/17/2019 ,47.38
1/18/2019 ,48.65
1/22/2019 ,47.06
1/23/2019 ,46.02
1/24/2019 ,47.27
1/25/2019 ,47.8
1/28/2019 ,46.74
1/29/2019 ,45.73
1/30/2019 ,46.31
1/31/2019 ,47.24
2/1/2019 ,46.01
2/4/2019 ,46.78
2/5/2019 ,47.84
2/6/2019 ,43
2/7/2019 ,43.96
2/8/2019 ,43.41
2/11/2019 ,40.11
2/12/2019 ,41.67
2/13/2019 ,44.57
2/14/2019 ,45.43
2/15/2019 ,44.6
2/19/2019 ,44.48
2/20/2019 ,42.78
2/21/2019 ,41.9
2/22/2019 ,41.5
2/25/2019 ,41.96
2/26/2019 ,42.08
2/27/2019 ,41.79
2/28/2019 ,42.14
3/1/2019 ,42.84
3/4/2019 ,41.79
3/5/2019 ,41.88
3/6/2019 ,42.56
3/7/2019 ,41.42
3/8/2019 ,42.03
3/11/2019 ,42.92
3/12/2019 ,42.63
3/13/2019 ,43.7
3/14/2019 ,43.32
3/15/2019 ,44.63
3/18/2019 ,44.97
3/19/2019 ,46.42
3/20/2019 ,46.16
3/21/2019 ,48.6
3/22/2019 ,46.87
3/25/2019 ,46.98
3/26/2019 ,46.43
3/27/2019 ,45.52
3/28/2019 ,45.62
3/29/2019 ,45.53
4/1/2019 ,47.12
4/2/2019 ,47.46
4/3/2019 ,47.65
4/4/2019 ,46.96
4/5/2019 ,47.29
4/8/2019 ,47.57
4/9/2019 ,47.01
4/10/2019 ,47.86
4/11/2019 ,47.17
4/12/2019 ,47.28
4/15/2019 ,45.75
4/16/2019 ,45.06
4/17/2019 ,44.98
4/18/2019 ,45.31
4/22/2019 ,45.34
4/23/2019 ,46.51
4/24/2019 ,46.75
4/25/2019 ,47.41
4/26/2019 ,48.15
4/29/2019 ,48.4
4/30/2019 ,48.21
